,pokedex_number,name,german_name,japanese_name,is_generation_1,is_generation_2,is_generation_3,is_generation_4,is_generation_5,is_generation_6,is_generation_7,is_generation_8,status,species,types,height,weight,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_types,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
10,8,Wartortle,Schillok,カメール (Kameil),True,False,False,False,False,False,False,False,Normal,Turtle Pokémon,Water,3'03'',49.6 lbs,2,Torrent,,Rain Dish,405,59,63,80,65,80,58,45.0,70.0,142.0,Medium Slow,"Monster, Water 1",87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
11,9,Blastoise,Turtok,カメックス (Kamex),True,False,False,False,False,False,False,False,Normal,Shellfish Pokémon,Water,5'03'',188.5 lbs,2,Torrent,,Rain Dish,530,79,83,100,85,105,78,45.0,70.0,239.0,Medium Slow,"Monster, Water 1",87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
12,9,Mega Blastoise,Turtok,カメックス (Kamex),True,False,False,False,False,False,False,False,Normal,Shellfish Pokémon,Water,5'03'',222.89 lbs,1,Mega Launcher,,,630,79,103,120,135,115,78,45.0,70.0,284.0,Medium Slow,"Monster, Water 1",87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
13,10,Caterpie,Raupy,キャタピー (Caterpie),True,False,False,False,False,False,False,False,Normal,Worm Pokémon,Bug,1'00'',6.39 lbs,2,Shield Dust,,Run Away,195,45,30,35,20,20,45,255.0,70.0,39.0,Medium Fast,Bug,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
14,11,Metapod,Safcon,トランセル (Transel),True,False,False,False,False,False,False,False,Normal,Cocoon Pokémon,Bug,2'04'',21.83 lbs,1,Shed Skin,,,205,50,20,55,25,25,30,120.0,70.0,72.0,Medium Fast,Bug,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
15,12,Butterfree,Smettbo,バタフリー (Butterfree),True,False,False,False,False,False,False,False,Normal,Butterfly Pokémon,"Bug, Flying",3'07'',70.55 lbs,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45.0,70.0,178.0,Medium Fast,Bug,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
16,13,Weedle,Hornliu,ビードル (Beedle),True,False,False,False,False,False,False,False,Normal,Hairy Bug Pokémon,"Bug, Poison",1'00'',7.05 lbs,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255.0,70.0,39.0,Medium Fast,Bug,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
17,14,Kakuna,Kokuna,コクーン (Cocoon),True,False,False,False,False,False,False,False,Normal,Cocoon Pokémon,"Bug, Poison",2'00'',22.05 lbs,1,Shed Skin,,,205,45,25,50,25,25,35,120.0,70.0,72.0,Medium Fast,Bug,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
18,15,Beedrill,Bibor,スピアー (Spear),True,False,False,False,False,False,False,False,Normal,Poison Bee Pokémon,"Bug, Poison",3'03'',65.04 lbs,2,Swarm,,Sniper,395,65,90,40,45,80,75,45.0,70.0,178.0,Medium Fast,Bug,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
19,15,Mega Beedrill,Bibor,スピアー (Spear),True,False,False,False,False,False,False,False,Normal,Poison Bee Pokémon,"Bug, Poison",4'07'',89.29 lbs,1,Adaptability,,,495,65,150,40,15,80,145,45.0,70.0,223.0,Medium Fast,Bug,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
20,16,Pidgey,Taubsi,ポッポ (Poppo),True,False,False,False,False,False,False,False,Normal,Tiny Bird Pokémon,"Normal, Flying",1'00'',3.97 lbs,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255.0,70.0,50.0,Medium Slow,Flying,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
21,17,Pidgeotto,Tauboga,ピジョン (Pigeon),True,False,False,False,False,False,False,False,Normal,Bird Pokémon,"Normal, Flying",3'07'',66.14 lbs,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120.0,70.0,122.0,Medium Slow,Flying,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,18,Pidgeot,Tauboss,ピジョット (Pigeot),True,False,False,False,False,False,False,False,Normal,Bird Pokémon,"Normal, Flying",4'11'',87.08 lbs,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45.0,70.0,216.0,Medium Slow,Flying,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,18,Mega Pidgeot,Tauboss,ピジョット (Pigeot),True,False,False,False,False,False,False,False,Normal,Bird Pokémon,"Normal, Flying",7'03'',111.33 lbs,1,No Guard,,,579,83,80,80,135,80,121,45.0,70.0,261.0,Medium Slow,Flying,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
24,19,Rattata,Rattfratz,コラッタ (Koratta),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,Normal,1'00'',7.72 lbs,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,Field,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
25,19,Alolan Rattata,Rattfratz,コラッタ (Koratta),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,"Dark, Normal",1'00'',8.38 lbs,3,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,Field,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
26,20,Raticate,Rattikarl,ラッタ (Ratta),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,Normal,2'04'',40.79 lbs,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127.0,70.0,145.0,Medium Fast,Field,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
27,20,Alolan Raticate,Rattikarl,ラッタ (Ratta),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,"Dark, Normal",2'04'',56.22 lbs,3,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,127.0,70.0,145.0,Medium Fast,Field,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
28,21,Spearow,Habitak,オニスズメ (Onisuzume),True,False,False,False,False,False,False,False,Normal,Tiny Bird Pokémon,"Normal, Flying",1'00'',4.41 lbs,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255.0,70.0,52.0,Medium Fast,Flying,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
29,22,Fearow,Ibitak,オニドリル (Onidrill),True,False,False,False,False,False,False,False,Normal,Beak Pokémon,"Normal, Flying",3'11'',83.78 lbs,2,Keen Eye,,Sniper,442,65,90,65,61,61,100,90.0,70.0,155.0,Medium Fast,Flying,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
30,23,Ekans,Rettan,アーボ (Arbo),True,False,False,False,False,False,False,False,Normal,Snake Pokémon,Poison,6'07'',15.21 lbs,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255.0,70.0,58.0,Medium Fast,"Dragon, Field",50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,24,Arbok,Arbok,アーボック (Arbok),True,False,False,False,False,False,False,False,Normal,Cobra Pokémon,Poison,11'06'',143.3 lbs,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90.0,70.0,157.0,Medium Fast,"Dragon, Field",50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
32,25,Pikachu,Pikachu,ピカチュウ (Pikachu),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,Electric,1'04'',13.23 lbs,2,Static,,Lightning Rod,320,35,55,40,50,50,90,190.0,70.0,112.0,Medium Fast,"Fairy, Field",50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
33,25,Partner Pikachu,Pikachu,ピカチュウ (Pikachu),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,Electric,1'04'',13.23 lbs,1,,,Lightning Rod,430,45,80,50,75,60,120,190.0,70.0,112.0,Medium Fast,,50.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
34,26,Raichu,Raichu,ライチュウ (Raichu),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,Electric,2'07'',66.14 lbs,2,Static,,Lightning Rod,485,60,90,55,90,80,110,75.0,70.0,218.0,Medium Fast,"Fairy, Field",50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
35,26,Alolan Raichu,Raichu,ライチュウ (Raichu),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,"Electric, Psychic",2'04'',46.3 lbs,1,Surge Surfer,,,485,60,85,50,95,85,110,75.0,70.0,218.0,Medium Fast,"Fairy, Field",50.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
36,27,Sandshrew,Sandan,サンド (Sand),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,Ground,2'00'',26.46 lbs,2,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,255.0,70.0,60.0,Medium Fast,Field,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
37,27,Alolan Sandshrew,Sandan,サンド (Sand),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,"Ice, Steel",2'04'',88.18 lbs,2,Snow Cloak,,Slush Rush,300,50,75,90,10,35,40,255.0,70.0,60.0,Medium Fast,Field,50.0,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
38,28,Sandslash,Sandamer,サンドパン (Sandpan),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,Ground,3'03'',65.04 lbs,2,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,90.0,70.0,158.0,Medium Fast,Field,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
39,28,Alolan Sandslash,Sandamer,サンドパン (Sandpan),True,False,False,False,False,False,False,False,Normal,Mouse Pokémon,"Ice, Steel",3'11'',121.25 lbs,2,Snow Cloak,,Slush Rush,450,75,100,120,25,65,65,90.0,70.0,158.0,Medium Fast,Field,50.0,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
40,29,Nidoran♀,Nidoran♀,ニドラン♀ (Nidoran♀),True,False,False,False,False,False,False,False,Normal,Poison Pin Pokémon,Poison,1'04'',15.43 lbs,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235.0,70.0,55.0,Medium Slow,"Field, Monster",0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
41,30,Nidorina,Nidorina,ニドリーナ (Nidorina),True,False,False,False,False,False,False,False,Normal,Poison Pin Pokémon,Poison,2'07'',44.09 lbs,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120.0,70.0,128.0,Medium Slow,Undiscovered,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
42,31,Nidoqueen,Nidoqueen,ニドクイン (Nidoqueen),True,False,False,False,False,False,False,False,Normal,Drill Pokémon,"Poison, Ground",4'03'',132.28 lbs,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45.0,70.0,227.0,Medium Slow,Undiscovered,0.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
43,32,Nidoran♂,Nidoran♂,ニドラン♂ (Nidoran♂),True,False,False,False,False,False,False,False,Normal,Poison Pin Pokémon,Poison,1'08'',19.84 lbs,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235.0,70.0,55.0,Medium Slow,"Field, Monster",100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
44,33,Nidorino,Nidorino,ニドリーノ (Nidorino),True,False,False,False,False,False,False,False,Normal,Poison Pin Pokémon,Poison,2'11'',42.99 lbs,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120.0,70.0,128.0,Medium Slow,"Field, Monster",100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
45,34,Nidoking,Nidoking,ニドキング (Nidoking),True,False,False,False,False,False,False,False,Normal,Drill Pokémon,"Poison, Ground",4'07'',136.69 lbs,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45.0,70.0,227.0,Medium Slow,"Field, Monster",100.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
46,35,Clefairy,Piepi,ピッピ (Pippi),True,False,False,False,False,False,False,False,Normal,Fairy Pokémon,Fairy,2'00'',16.53 lbs,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,150.0,140.0,113.0,Fast,Fairy,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
47,36,Clefable,Pixi,ピクシー (Pixy),True,False,False,False,False,False,False,False,Normal,Fairy Pokémon,Fairy,4'03'',88.18 lbs,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,25.0,140.0,217.0,Fast,Fairy,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
48,37,Vulpix,Vulpix,ロコン (Rokon),True,False,False,False,False,False,False,False,Normal,Fox Pokémon,Fire,2'00'',21.83 lbs,2,Flash Fire,,Drought,299,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,Field,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
49,37,Alolan Vulpix,Vulpix,ロコン (Rokon),True,False,False,False,False,False,False,False,Normal,Fox Pokémon,Ice,2'00'',21.83 lbs,2,Snow Cloak,,Snow Warning,299,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,Field,25.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
50,38,Ninetales,Vulnona,キュウコン (Kyukon),True,False,False,False,False,False,False,False,Normal,Fox Pokémon,Fire,3'07'',43.87 lbs,2,Flash Fire,,Drought,505,73,76,75,81,100,100,75.0,70.0,177.0,Medium Fast,Field,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
51,38,Alolan Ninetales,Vulnona,キュウコン (Kyukon),True,False,False,False,False,False,False,False,Normal,Fox Pokémon,"Ice, Fairy",3'07'',43.87 lbs,2,Snow Cloak,,Snow Warning,505,73,67,75,81,100,109,75.0,70.0,177.0,Medium Fast,Field,25.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
52,39,Jigglypuff,Pummeluff,プリン (Purin),True,False,False,False,False,False,False,False,Normal,Balloon Pokémon,"Normal, Fairy",1'08'',12.13 lbs,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,170.0,70.0,95.0,Fast,Fairy,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
53,40,Wigglytuff,Knuddeluff,プクリン (Pukurin),True,False,False,False,False,False,False,False,Normal,Balloon Pokémon,"Normal, Fairy",3'03'',26.46 lbs,3,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,50.0,70.0,196.0,Fast,Fairy,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
54,41,Zubat,Zubat,ズバット (Zubat),True,False,False,False,False,False,False,False,Normal,Bat Pokémon,"Poison, Flying",2'07'',16.53 lbs,2,Inner Focus,,Infiltrator,245,40,45,35,30,40,55,255.0,70.0,49.0,Medium Fast,Flying,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
55,42,Golbat,Golbat,ゴルバット (Golbat),True,False,False,False,False,False,False,False,Normal,Bat Pokémon,"Poison, Flying",5'03'',121.25 lbs,2,Inner Focus,,Infiltrator,455,75,80,70,65,75,90,90.0,70.0,159.0,Medium Fast,Flying,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
56,43,Oddish,Myrapla,ナゾノクサ (Nazonokusa),True,False,False,False,False,False,False,False,Normal,Weed Pokémon,"Grass, Poison",1'08'',11.9 lbs,2,Chlorophyll,,Run Away,320,45,50,55,75,65,30,255.0,70.0,64.0,Medium Slow,Grass,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
57,44,Gloom,Duflor,クサイハナ (Kusaihana),True,False,False,False,False,False,False,False,Normal,Weed Pokémon,"Grass, Poison",2'07'',18.96 lbs,2,Chlorophyll,,Stench,395,60,65,70,85,75,40,120.0,70.0,138.0,Medium Slow,Grass,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
58,45,Vileplume,Giflor,ラフレシア (Ruffresia),True,False,False,False,False,False,False,False,Normal,Flower Pokémon,"Grass, Poison",3'11'',41.01 lbs,2,Chlorophyll,,Effect Spore,490,75,80,85,110,90,50,45.0,70.0,221.0,Medium Slow,Grass,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
59,46,Paras,Paras,パラス (Paras),True,False,False,False,False,False,False,False,Normal,Mushroom Pokémon,"Bug, Grass",1'00'',11.9 lbs,3,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,190.0,70.0,57.0,Medium Fast,"Bug, Grass",50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
60,47,Parasect,Parasek,パラセクト (Parasect),True,False,False,False,False,False,False,False,Normal,Mushroom Pokémon,"Bug, Grass",3'03'',65.04 lbs,3,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,75.0,70.0,142.0,Medium Fast,"Bug, Grass",50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
61,48,Venonat,Bluzuk,コンパン (Kongpang),True,False,False,False,False,False,False,False,Normal,Insect Pokémon,"Bug, Poison",3'03'',66.14 lbs,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,190.0,70.0,61.0,Medium Fast,Bug,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
